



[2025-05-17 18:40:28] ❌ Column 'payment_cost_1' cannot be null | FILE: /Applications/XAMPP/xamppfiles/htdocs/pos/assets/php/helper/payment-helper/submit_repair_payment.php | LINE: 75
[2025-05-17 18:43:10] ❌ The number of elements in the type definition string must match the number of bind variables | FILE: /Applications/XAMPP/xamppfiles/htdocs/pos/assets/php/helper/payment-helper/submit_repair_payment.php | LINE: 116
[2025-05-17 21:45:43] ❌ Missing required input fields. | FILE: /Applications/XAMPP/xamppfiles/htdocs/pos/assets/php/helper/payment-helper/submit_repair_payment.php | LINE: 34
[2025-05-17 21:45:55] ❌ Missing required input fields. | FILE: /Applications/XAMPP/xamppfiles/htdocs/pos/assets/php/helper/payment-helper/submit_repair_payment.php | LINE: 34
[2025-05-18 17:20:42] \u274c Unknown column 'r.repair_id' in 'where clause' | FILE: /Applications/XAMPP/xamppfiles/htdocs/pos/assets/php/helper/payment-helper/submit_repair_payment.php | LINE: 45
[2025-05-18 17:21:03] ❌ Missing required input fields. | FILE: /Applications/XAMPP/xamppfiles/htdocs/pos/assets/php/helper/payment-helper/submit_repair_payment.php | LINE: 40
[2025-05-18 17:21:08] ❌ Missing required input fields. | FILE: /Applications/XAMPP/xamppfiles/htdocs/pos/assets/php/helper/payment-helper/submit_repair_payment.php | LINE: 40
[2025-05-18 17:21:25] ❌ Missing required input fields. | FILE: /Applications/XAMPP/xamppfiles/htdocs/pos/assets/php/helper/payment-helper/submit_repair_payment.php | LINE: 40
[2025-05-18 17:21:33] ❌ Missing required input fields. | FILE: /Applications/XAMPP/xamppfiles/htdocs/pos/assets/php/helper/payment-helper/submit_repair_payment.php | LINE: 40
[2025-05-18 17:22:34] ❌ Missing required input fields. | FILE: /Applications/XAMPP/xamppfiles/htdocs/pos/assets/php/helper/payment-helper/submit_repair_payment.php | LINE: 40
[2025-05-19 11:59:55] ❌ User session missing. | FILE: /Applications/XAMPP/xamppfiles/htdocs/pos/assets/php/helper/payment-helper/submit_repair_payment.php | LINE: 50
[2025-05-19 12:32:40] ❌ Missing required input fields. | FILE: /Applications/XAMPP/xamppfiles/htdocs/pos/assets/php/helper/payment-helper/submit_repair_payment.php | LINE: 45
[2025-05-19 12:32:44] ❌ Missing required input fields. | FILE: /Applications/XAMPP/xamppfiles/htdocs/pos/assets/php/helper/payment-helper/submit_repair_payment.php | LINE: 45
[2025-05-22 11:18:30] ❌ Missing required input fields. | FILE: /Applications/XAMPP/xamppfiles/htdocs/pos/assets/php/helper/payment-helper/submit_repair_payment.php | LINE: 56
